pulled_on,subscribers,total_views,videos
2026-07-15,164,40672,73
2026-07-15,164,40672,73
2026-07-15,165,41314,74
2026-07-15,165,41314,75
2026-07-15,165,41314,76
2026-07-15,165,41978,77
2026-07-15,165,41978,78
2026-07-15,166,41978,78
2026-07-15,166,41978,78
2026-07-16,166,41978,78
2026-07-16,166,42522,79
2026-07-16,166,42522,80
2026-07-16,166,42522,81
2026-07-16,166,42968,82
2026-07-16,166,42968,83
2026-07-16,166,42968,83
2026-07-17,167,43568,84
2026-07-17,167,43568,85
2026-07-17,168,43568,86
2026-07-17,168,44091,87
2026-07-17,168,44091,88
2026-07-17,168,44091,89
2026-07-17,168,44091,90
2026-07-18,169,44488,91
2026-07-18,170,44488,92
2026-07-18,171,44488,93
2026-07-18,171,44915,94
2026-07-18,172,44915,94
2026-07-18,172,44915,94
2026-07-19,172,44915,95
2026-07-19,173,44915,96
2026-07-19,173,45886,96
2026-07-19,173,45886,97
2026-07-19,175,45886,97
2026-07-20,176,46370,98
2026-07-20,177,47313,99
