pulled_on,video_id,views,avg_view_seconds,avg_view_pct
2026-08-27,Q9Ljqj2smco,1262,27.0,71.1
2026-08-27,Rphu9VeOCTA,1259,19.0,63.8
2026-08-27,IyW_jQ-7OKU,1256,38.0,96.4
2026-08-27,9arMWeXLsdU,1174,25.0,112.9
2026-08-27,ZibclqOCkD8,1128,16.0,79.7
2026-08-27,v7_1bygaoI0,1060,15.0,57.9
2026-08-27,62_DzzBs1N0,1057,16.0,67.2
2026-08-27,bmCs2StEuI4,1015,19.0,69.5
2026-08-27,paiLb6IFvbk,965,16.0,58.4
2026-08-27,0ewAv9QeUtM,944,10.0,39.9
2026-08-27,n8MItlfdgB8,944,12.0,56.0
2026-08-27,YBWrR2JXG5M,937,15.0,66.2
2026-08-27,6C4AoNDU-2U,935,13.0,59.9
2026-08-27,xShTeIO2wZE,920,16.0,78.1
2026-08-27,ft9cooOMGLA,906,33.0,118.2
2026-08-27,6y0_ZCKvEWQ,905,41.0,108.4
2026-08-27,92VZI46v6WA,896,30.0,129.0
2026-08-27,_MXQmYvQ39Y,874,26.0,74.4
2026-08-27,Ihqc_gul6bQ,820,45.0,106.8
2026-08-27,wCJl2VW4WRk,812,17.0,78.1
2026-08-27,8681Jg8vE7I,802,30.0,86.0
2026-08-27,bEIwqNbS5tI,789,23.0,78.8
2026-08-27,Jcv8bTZ636Q,784,38.0,107.4
2026-08-27,q1aEaq6nyvg,755,18.0,91.5
2026-08-27,Vw3Dd9pwjmg,730,28.0,75.9
2026-08-27,H5DKoI8ZYOE,713,34.0,104.2
2026-08-27,zDvyxWor3Aw,703,22.0,50.8
2026-08-27,mk1zKYrH1T8,702,30.0,143.9
2026-08-27,D56LXXdfYgA,687,26.0,61.3
2026-08-27,_1daf3c0PmA,686,22.0,77.0
2026-08-27,4sXyeHDEifE,679,13.0,57.3
2026-08-27,t_d6ZOJuN0o,679,14.0,75.8
2026-08-27,AHjrJ456WwM,673,12.0,64.3
2026-08-27,xK-OAifO1HM,657,33.0,111.4
2026-08-27,vI-qVVXn2SU,650,13.0,56.0
2026-08-27,xYkjvnUmb6s,649,19.0,67.4
2026-08-27,_lo62w8PF4Q,647,13.0,45.5
2026-08-27,16byegZ-7ug,642,28.0,91.3
2026-08-27,oCZC5RaCeDw,641,25.0,66.9
2026-08-27,YZU5N6HGOm4,639,13.0,80.7
2026-08-27,bR1tmylxpmw,635,23.0,101.7
2026-08-27,hOqmlHpWstA,631,14.0,47.0
2026-08-27,J3Z8Mi4k-Hg,631,12.0,59.2
2026-08-27,5G8PDKp7398,617,14.0,46.8
2026-08-27,752yaoky0Kg,615,14.0,46.8
2026-08-27,pyWoqCX8TC4,597,25.0,76.4
2026-08-27,KJJ308qm1cM,597,15.0,50.0
2026-08-27,f3IALbfKwxE,591,12.0,70.9
2026-08-27,RqwweRXyY2Q,582,18.0,64.4
2026-08-27,Vf1sBzz3bQ4,574,30.0,108.7
2026-08-27,ajjwpsngSoc,572,14.0,56.6
2026-08-27,XwKlbO2NDF0,571,13.0,41.1
2026-08-27,izZTG7wjApc,564,19.0,60.2
2026-08-27,PDXFtkHTiR0,563,27.0,69.3
2026-08-27,2IC642X4kX0,557,14.0,64.1
2026-08-27,-NDMY1q2EnY,556,21.0,99.1
2026-08-27,Mk02sx_CuQo,552,39.0,118.3
2026-08-27,IpvOGNTWX8g,537,34.0,113.4
2026-08-27,JE6GK_vhvqc,532,20.0,79.4
2026-08-27,lvLtxkeFLEM,508,27.0,64.3
2026-08-27,3JOBY99exNk,467,12.0,41.1
2026-08-27,Rsvwh1RWd90,461,22.0,79.3
2026-08-27,bjBhTuiqWEE,460,23.0,64.9
2026-08-27,7sIA2AE_0Vc,443,27.0,77.4
2026-08-27,awMI7G8645M,438,24.0,82.8
2026-08-27,uwv4rzTGnsI,438,46.0,200.2
2026-08-27,4kA8Elm9T-k,437,15.0,61.5
2026-08-27,HAKUq9F2KwU,434,21.0,78.6
2026-08-27,RszD-3PpTEQ,433,14.0,62.0
2026-08-27,6gK4rVgWGeA,425,22.0,63.0
2026-08-27,lZtc5TJ9Hcg,413,15.0,50.3
2026-08-27,JtNYzp7ezSI,412,22.0,79.2
2026-08-27,2mBCXmqbXqg,392,15.0,63.2
2026-08-27,zUrV8WyfCYQ,387,17.0,64.1
2026-08-27,LAF0IgG-hnI,385,18.0,58.6
2026-08-27,Cv8FJo0yWVw,374,19.0,89.2
2026-08-27,J_ZjG4Hp_nc,366,15.0,76.4
2026-08-27,nUgDtEcNS04,360,54.0,181.2
2026-08-27,ew5iWfLr8YI,359,19.0,55.2
2026-08-27,eWgxH4SzSaU,353,13.0,53.5
2026-08-27,C_qPyUXrRHQ,344,14.0,58.6
2026-08-27,ivoG9I1OMPU,336,15.0,53.7
2026-08-27,gQgITV9h1WI,334,18.0,62.7
2026-08-27,sKmNkVEAiiU,334,18.0,51.8
2026-08-27,jKqGbBDMJ1M,311,56.0,149.7
2026-08-27,Soqjc5yHmUo,308,11.0,43.3
2026-08-27,Me2dhbMRuRw,296,17.0,47.3
2026-08-27,Mue8NTxs_dk,295,29.0,72.4
2026-08-27,agIaFTXh7Sc,294,16.0,49.0
2026-08-27,LU4ayc3HtQU,293,19.0,85.2
2026-08-27,1vW5QlYLtdY,293,18.0,49.4
2026-08-27,D3V1bO2Bnns,291,19.0,66.0
2026-08-27,mzUZHHFQ8_Y,290,12.0,69.3
2026-08-27,IjDfLmmTHKU,286,16.0,70.7
2026-08-27,VqIpZoIBJMY,276,18.0,99.3
2026-08-27,VRvQUEOBVSc,267,20.0,80.9
2026-08-27,EzgcSgsE5hE,261,24.0,59.0
2026-08-27,Re7UwpZLpQY,255,11.0,58.6
2026-08-27,0siQWWd7Ynw,252,51.0,255.2
2026-08-27,z0zus6SySlQ,244,12.0,49.5
2026-08-27,MO_JaKvZGtA,240,32.0,84.1
2026-08-27,DT7c3C1_OYY,234,14.0,74.8
2026-08-27,do0M8pa7F6k,226,13.0,68.6
2026-08-27,900MwzqdebU,223,18.0,44.1
2026-08-27,-SbsUBKvGJQ,222,14.0,72.9
2026-08-27,xOkE3-uahz4,221,9.0,57.9
2026-08-27,RLrmFHIcpik,220,29.0,76.3
2026-08-27,lXFma-NtLa8,219,20.0,67.7
2026-08-27,tgWhj1oONpA,215,17.0,52.1
2026-08-27,7E1R1quwj9Q,213,12.0,66.8
2026-08-27,_3IeP6lK9bk,213,22.0,64.2
2026-08-27,EsgvRkZsB-o,211,30.0,125.1
2026-08-27,lRC70RVPGBo,210,15.0,62.9
2026-08-27,FSK7_LMHUOY,209,26.0,82.4
2026-08-27,OsgdlKCFuLw,200,34.0,85.0
2026-08-27,_St3SoNjNhU,196,12.0,64.6
2026-08-27,DwJ38dEWVxk,195,50.0,121.3
2026-08-27,Jpa-8IhmsgE,194,34.0,165.7
2026-08-27,fxJSvmO3N-4,186,15.0,60.3
2026-08-27,_5w1THAHfuU,186,19.0,50.9
2026-08-27,KtSrIKtVWg8,185,27.0,63.1
2026-08-27,QNa1HVZUxvA,183,25.0,88.1
2026-08-27,XRyXUj4uTN4,180,22.0,89.0
2026-08-27,yG9eXSRluro,180,27.0,76.3
2026-08-27,4DLKY3xg7DU,179,20.0,50.3
2026-08-27,WJ3F4AY_Dr8,178,10.0,38.6
2026-08-27,BtNogrVRUlw,174,11.0,37.2
2026-08-27,xSm0tAGdyOk,172,32.0,83.5
2026-08-27,qL48RlSTrkM,172,17.0,45.7
2026-08-27,Oe_Z5ctg2Nw,169,15.0,57.0
2026-08-27,4DI30_vMW4c,167,14.0,66.4
2026-08-27,iWl_7JmSmwE,158,22.0,52.9
2026-08-27,16EhiiMVOGs,158,18.0,51.8
2026-08-27,DIw5wKW7aAs,153,17.0,47.3
2026-08-27,utFtZdNMqvk,148,9.0,42.4
2026-08-27,qP2V502RJCk,144,13.0,75.0
2026-08-27,vhJfUrDC8wk,139,11.0,46.6
2026-08-27,TT--nDWIoYk,134,16.0,73.5
2026-08-27,hTD64Iop0uw,133,29.0,116.8
2026-08-27,FZFK5J219UM,130,19.0,59.1
2026-08-27,L4fASbEONtg,129,12.0,67.2
2026-08-27,CDwr2M1YUqg,128,10.0,37.8
2026-08-27,UWhKhyad4w8,127,12.0,53.0
2026-08-27,JDnyFxuDpdI,127,19.0,54.9
2026-08-27,eEEaWs3-XZg,127,15.0,68.2
2026-08-27,O7KgnV1ZDYk,126,13.0,47.0
2026-08-27,BYUgo23sGmo,124,23.0,56.6
2026-08-27,MJ2d3nqRJf8,123,131.0,626.5
2026-08-27,UehZvwaZWSM,122,115.0,304.6
2026-08-27,yIgmnlMn8Yo,121,29.0,65.0
2026-08-27,kORGB4qlp_A,121,18.0,72.1
2026-08-27,nv_n83Id4Jo,116,19.0,87.1
2026-08-27,bW1gubDlmAg,113,20.0,61.3
2026-08-27,MwljWYP8nXk,113,13.0,60.2
2026-08-27,qzLbKJVZfbw,108,468.0,2128.7
2026-08-27,z3XKngtU2lI,106,24.0,53.9
2026-08-27,Ee2V0qV1Lbk,105,13.0,65.9
2026-08-27,rmUowSlH_Ic,103,18.0,93.8
2026-08-27,d8POTCrUSuk,99,16.0,35.7
2026-08-27,kr6p2mAgA9g,98,23.0,81.0
2026-08-27,LXdnsXkSqrY,95,9.0,28.0
2026-08-27,cGGfKXhcbtk,93,22.0,50.3
2026-08-27,rVB5RYm10gU,91,18.0,45.4
2026-08-27,KRx0Ilyp4yw,91,24.0,58.0
2026-08-27,bAw2UjROqqE,86,18.0,49.7
2026-08-27,66Mi-VGpBzg,86,14.0,39.8
2026-08-27,pFwsEOPUAf4,84,18.0,49.4
2026-08-27,ei1LoetV9UI,83,15.0,63.8
2026-08-27,oRrUNukpLRM,82,32.0,82.9
2026-08-27,Pt6KqatWetg,80,21.0,60.7
2026-08-27,fST-2ee7zOI,79,10.0,33.0
2026-08-27,2X1IIRY__ug,75,34.0,85.1
2026-08-27,9GgqbD1ED3U,73,19.0,87.8
2026-08-27,kIjqfJvj3Ps,72,14.0,50.5
2026-08-27,RvWp3HWliig,71,18.0,56.9
2026-08-27,whTirDiit2E,71,11.0,30.1
2026-08-27,f5j0svA-SGw,70,31.0,116.2
2026-08-27,XKx6CkWoP-M,69,38.0,137.0
2026-08-27,QHjtbg9mEfs,67,14.0,36.5
2026-08-27,t9uf2y6z2v4,66,12.0,44.2
2026-08-27,CmixQ4F7Tx4,63,22.0,51.7
2026-08-27,aQqDXNi1oMo,61,9.0,47.4
2026-08-27,x7pWacebp1E,60,26.0,64.6
2026-08-27,UJvuUh_-8p8,60,10.0,30.0
2026-08-27,uCYwL47CEtI,58,15.0,44.9
2026-08-27,ZZZAoiailGA,58,20.0,48.5
2026-08-27,QdN51yPIys8,58,15.0,39.6
2026-08-27,zwz0ycTJLAA,57,17.0,54.1
2026-08-27,5Gz_ZaC1xdI,55,19.0,70.8
2026-08-27,e7jx6OFXAD4,52,15.0,45.9
2026-08-27,n17OlR2SgIg,49,19.0,55.0
2026-08-27,ETHWgu_bQSk,47,13.0,36.4
2026-08-27,SsipBXrnSjM,45,20.0,46.0
2026-08-27,5F2beQEt2UE,42,25.0,66.2
2026-08-27,IKub-zaJyVY,41,26.0,50.2
2026-08-27,40uJE--rZhg,41,23.0,46.8
