pulled_on,video_id,ratio,watch_ratio
2026-09-07,uQVkBsOMYQw,0.01,1.0952
2026-09-07,uQVkBsOMYQw,0.02,1.0952
2026-09-07,uQVkBsOMYQw,0.03,1.0952
2026-09-07,uQVkBsOMYQw,0.04,1.0952
2026-09-07,uQVkBsOMYQw,0.05,1.0952
2026-09-07,uQVkBsOMYQw,0.06,1.0714
2026-09-07,uQVkBsOMYQw,0.07,1.0714
2026-09-07,uQVkBsOMYQw,0.08,1.0714
2026-09-07,uQVkBsOMYQw,0.09,1.0714
2026-09-07,uQVkBsOMYQw,0.1,1.0714
2026-09-07,uQVkBsOMYQw,0.11,1.0714
2026-09-07,uQVkBsOMYQw,0.12,1.0714
2026-09-07,uQVkBsOMYQw,0.13,1.0
2026-09-07,uQVkBsOMYQw,0.14,0.9286
2026-09-07,uQVkBsOMYQw,0.15,0.8095
2026-09-07,uQVkBsOMYQw,0.16,0.7381
2026-09-07,uQVkBsOMYQw,0.17,0.6905
2026-09-07,uQVkBsOMYQw,0.18,0.6905
2026-09-07,uQVkBsOMYQw,0.19,0.6905
2026-09-07,uQVkBsOMYQw,0.2,0.6429
2026-09-07,uQVkBsOMYQw,0.21,0.619
2026-09-07,uQVkBsOMYQw,0.22,0.5952
2026-09-07,uQVkBsOMYQw,0.23,0.5238
2026-09-07,uQVkBsOMYQw,0.24,0.4762
2026-09-07,uQVkBsOMYQw,0.25,0.4286
2026-09-07,uQVkBsOMYQw,0.26,0.381
2026-09-07,uQVkBsOMYQw,0.27,0.381
2026-09-07,uQVkBsOMYQw,0.28,0.381
2026-09-07,uQVkBsOMYQw,0.29,0.3571
2026-09-07,uQVkBsOMYQw,0.3,0.3571
2026-09-07,uQVkBsOMYQw,0.31,0.3571
2026-09-07,uQVkBsOMYQw,0.32,0.3571
2026-09-07,uQVkBsOMYQw,0.33,0.3571
2026-09-07,uQVkBsOMYQw,0.34,0.3571
2026-09-07,uQVkBsOMYQw,0.35,0.3571
2026-09-07,uQVkBsOMYQw,0.36,0.3571
2026-09-07,uQVkBsOMYQw,0.37,0.3571
2026-09-07,uQVkBsOMYQw,0.38,0.3571
2026-09-07,uQVkBsOMYQw,0.39,0.3333
2026-09-07,uQVkBsOMYQw,0.4,0.3333
2026-09-07,uQVkBsOMYQw,0.41,0.3333
2026-09-07,uQVkBsOMYQw,0.42,0.3333
2026-09-07,uQVkBsOMYQw,0.43,0.3333
2026-09-07,uQVkBsOMYQw,0.44,0.3333
2026-09-07,uQVkBsOMYQw,0.45,0.3333
2026-09-07,uQVkBsOMYQw,0.46,0.3333
2026-09-07,uQVkBsOMYQw,0.47,0.3095
2026-09-07,uQVkBsOMYQw,0.48,0.3095
2026-09-07,uQVkBsOMYQw,0.49,0.2857
2026-09-07,uQVkBsOMYQw,0.5,0.3095
2026-09-07,uQVkBsOMYQw,0.51,0.3095
2026-09-07,uQVkBsOMYQw,0.52,0.3095
2026-09-07,uQVkBsOMYQw,0.53,0.3095
2026-09-07,uQVkBsOMYQw,0.54,0.2857
2026-09-07,uQVkBsOMYQw,0.55,0.2857
2026-09-07,uQVkBsOMYQw,0.56,0.2857
2026-09-07,uQVkBsOMYQw,0.57,0.2857
2026-09-07,uQVkBsOMYQw,0.58,0.2857
2026-09-07,uQVkBsOMYQw,0.59,0.2857
2026-09-07,uQVkBsOMYQw,0.6,0.2619
2026-09-07,uQVkBsOMYQw,0.61,0.2619
2026-09-07,uQVkBsOMYQw,0.62,0.2619
2026-09-07,uQVkBsOMYQw,0.63,0.2381
2026-09-07,uQVkBsOMYQw,0.64,0.2143
2026-09-07,uQVkBsOMYQw,0.65,0.2143
2026-09-07,uQVkBsOMYQw,0.66,0.2143
2026-09-07,uQVkBsOMYQw,0.67,0.1905
2026-09-07,uQVkBsOMYQw,0.68,0.1667
2026-09-07,uQVkBsOMYQw,0.69,0.1667
2026-09-07,uQVkBsOMYQw,0.7,0.1667
2026-09-07,uQVkBsOMYQw,0.71,0.1667
2026-09-07,uQVkBsOMYQw,0.72,0.1667
2026-09-07,uQVkBsOMYQw,0.73,0.1667
2026-09-07,uQVkBsOMYQw,0.74,0.1667
2026-09-07,uQVkBsOMYQw,0.75,0.1667
2026-09-07,uQVkBsOMYQw,0.76,0.1667
2026-09-07,uQVkBsOMYQw,0.77,0.1667
2026-09-07,uQVkBsOMYQw,0.78,0.1667
2026-09-07,uQVkBsOMYQw,0.79,0.1667
2026-09-07,uQVkBsOMYQw,0.8,0.1667
2026-09-07,uQVkBsOMYQw,0.81,0.1667
2026-09-07,uQVkBsOMYQw,0.82,0.1667
2026-09-07,uQVkBsOMYQw,0.83,0.1667
2026-09-07,uQVkBsOMYQw,0.84,0.1667
2026-09-07,uQVkBsOMYQw,0.85,0.1667
2026-09-07,uQVkBsOMYQw,0.86,0.1429
2026-09-07,uQVkBsOMYQw,0.87,0.1429
2026-09-07,uQVkBsOMYQw,0.88,0.119
2026-09-07,uQVkBsOMYQw,0.89,0.0952
2026-09-07,uQVkBsOMYQw,0.9,0.0952
2026-09-07,uQVkBsOMYQw,0.91,0.0952
2026-09-07,uQVkBsOMYQw,0.92,0.0952
2026-09-07,uQVkBsOMYQw,0.93,0.0952
2026-09-07,uQVkBsOMYQw,0.94,0.0952
2026-09-07,uQVkBsOMYQw,0.95,0.0952
2026-09-07,uQVkBsOMYQw,0.96,0.0952
2026-09-07,uQVkBsOMYQw,0.97,0.0952
2026-09-07,uQVkBsOMYQw,0.98,0.0952
2026-09-07,uQVkBsOMYQw,0.99,0.0952
2026-09-07,uQVkBsOMYQw,1.0,0.0952
2026-09-07,71r-XlkpT3E,0.01,1.3182
2026-09-07,71r-XlkpT3E,0.02,1.3182
2026-09-07,71r-XlkpT3E,0.03,1.2727
2026-09-07,71r-XlkpT3E,0.04,1.1818
2026-09-07,71r-XlkpT3E,0.05,1.1364
2026-09-07,71r-XlkpT3E,0.06,1.0909
2026-09-07,71r-XlkpT3E,0.07,1.0909
2026-09-07,71r-XlkpT3E,0.08,1.0909
2026-09-07,71r-XlkpT3E,0.09,1.0909
2026-09-07,71r-XlkpT3E,0.1,1.0909
2026-09-07,71r-XlkpT3E,0.11,1.0909
2026-09-07,71r-XlkpT3E,0.12,1.0455
2026-09-07,71r-XlkpT3E,0.13,1.0
2026-09-07,71r-XlkpT3E,0.14,0.9091
2026-09-07,71r-XlkpT3E,0.15,0.9091
2026-09-07,71r-XlkpT3E,0.16,0.9091
2026-09-07,71r-XlkpT3E,0.17,0.8636
2026-09-07,71r-XlkpT3E,0.18,0.8182
2026-09-07,71r-XlkpT3E,0.19,0.8182
2026-09-07,71r-XlkpT3E,0.2,0.7727
2026-09-07,71r-XlkpT3E,0.21,0.7727
2026-09-07,71r-XlkpT3E,0.22,0.7273
2026-09-07,71r-XlkpT3E,0.23,0.7273
2026-09-07,71r-XlkpT3E,0.24,0.7273
2026-09-07,71r-XlkpT3E,0.25,0.7273
2026-09-07,71r-XlkpT3E,0.26,0.7273
2026-09-07,71r-XlkpT3E,0.27,0.6818
2026-09-07,71r-XlkpT3E,0.28,0.6818
2026-09-07,71r-XlkpT3E,0.29,0.6818
2026-09-07,71r-XlkpT3E,0.3,0.6818
2026-09-07,71r-XlkpT3E,0.31,0.6818
2026-09-07,71r-XlkpT3E,0.32,0.6818
2026-09-07,71r-XlkpT3E,0.33,0.6818
2026-09-07,71r-XlkpT3E,0.34,0.6818
2026-09-07,71r-XlkpT3E,0.35,0.6818
2026-09-07,71r-XlkpT3E,0.36,0.6818
2026-09-07,71r-XlkpT3E,0.37,0.6364
2026-09-07,71r-XlkpT3E,0.38,0.6364
2026-09-07,71r-XlkpT3E,0.39,0.6364
2026-09-07,71r-XlkpT3E,0.4,0.6364
2026-09-07,71r-XlkpT3E,0.41,0.6364
2026-09-07,71r-XlkpT3E,0.42,0.5909
2026-09-07,71r-XlkpT3E,0.43,0.5909
2026-09-07,71r-XlkpT3E,0.44,0.5909
2026-09-07,71r-XlkpT3E,0.45,0.5909
2026-09-07,71r-XlkpT3E,0.46,0.5909
2026-09-07,71r-XlkpT3E,0.47,0.5909
2026-09-07,71r-XlkpT3E,0.48,0.5455
2026-09-07,71r-XlkpT3E,0.49,0.5455
2026-09-07,71r-XlkpT3E,0.5,0.5455
2026-09-07,71r-XlkpT3E,0.51,0.5455
2026-09-07,71r-XlkpT3E,0.52,0.5455
2026-09-07,71r-XlkpT3E,0.53,0.5
2026-09-07,71r-XlkpT3E,0.54,0.5
2026-09-07,71r-XlkpT3E,0.55,0.5
2026-09-07,71r-XlkpT3E,0.56,0.5
2026-09-07,71r-XlkpT3E,0.57,0.5
2026-09-07,71r-XlkpT3E,0.58,0.5
2026-09-07,71r-XlkpT3E,0.59,0.5
2026-09-07,71r-XlkpT3E,0.6,0.5
2026-09-07,71r-XlkpT3E,0.61,0.5
2026-09-07,71r-XlkpT3E,0.62,0.5
2026-09-07,71r-XlkpT3E,0.63,0.5
2026-09-07,71r-XlkpT3E,0.64,0.4545
2026-09-07,71r-XlkpT3E,0.65,0.4545
2026-09-07,71r-XlkpT3E,0.66,0.4545
2026-09-07,71r-XlkpT3E,0.67,0.4545
2026-09-07,71r-XlkpT3E,0.68,0.4545
2026-09-07,71r-XlkpT3E,0.69,0.4545
2026-09-07,71r-XlkpT3E,0.7,0.4545
2026-09-07,71r-XlkpT3E,0.71,0.4545
2026-09-07,71r-XlkpT3E,0.72,0.4545
2026-09-07,71r-XlkpT3E,0.73,0.4545
2026-09-07,71r-XlkpT3E,0.74,0.4545
2026-09-07,71r-XlkpT3E,0.75,0.4545
2026-09-07,71r-XlkpT3E,0.76,0.4545
2026-09-07,71r-XlkpT3E,0.77,0.4545
2026-09-07,71r-XlkpT3E,0.78,0.4545
2026-09-07,71r-XlkpT3E,0.79,0.4545
2026-09-07,71r-XlkpT3E,0.8,0.4545
2026-09-07,71r-XlkpT3E,0.81,0.4545
2026-09-07,71r-XlkpT3E,0.82,0.4091
2026-09-07,71r-XlkpT3E,0.83,0.4091
2026-09-07,71r-XlkpT3E,0.84,0.4091
2026-09-07,71r-XlkpT3E,0.85,0.4091
2026-09-07,71r-XlkpT3E,0.86,0.4091
2026-09-07,71r-XlkpT3E,0.87,0.4091
2026-09-07,71r-XlkpT3E,0.88,0.4091
2026-09-07,71r-XlkpT3E,0.89,0.4091
2026-09-07,71r-XlkpT3E,0.9,0.4091
2026-09-07,71r-XlkpT3E,0.91,0.4091
2026-09-07,71r-XlkpT3E,0.92,0.4091
2026-09-07,71r-XlkpT3E,0.93,0.4091
2026-09-07,71r-XlkpT3E,0.94,0.4091
2026-09-07,71r-XlkpT3E,0.95,0.4091
2026-09-07,71r-XlkpT3E,0.96,0.3636
2026-09-07,71r-XlkpT3E,0.97,0.3636
2026-09-07,71r-XlkpT3E,0.98,0.3182
2026-09-07,71r-XlkpT3E,0.99,0.3182
2026-09-07,71r-XlkpT3E,1.0,0.3182
2026-09-07,ErUvcVFCpbo,0.01,1.2759
2026-09-07,ErUvcVFCpbo,0.02,1.2759
2026-09-07,ErUvcVFCpbo,0.03,1.2759
2026-09-07,ErUvcVFCpbo,0.04,1.2759
2026-09-07,ErUvcVFCpbo,0.05,1.2759
2026-09-07,ErUvcVFCpbo,0.06,1.2759
2026-09-07,ErUvcVFCpbo,0.07,1.2759
2026-09-07,ErUvcVFCpbo,0.08,1.2414
2026-09-07,ErUvcVFCpbo,0.09,1.2414
2026-09-07,ErUvcVFCpbo,0.1,1.2414
2026-09-07,ErUvcVFCpbo,0.11,1.2069
2026-09-07,ErUvcVFCpbo,0.12,1.2069
